run_number,title,display_title,source_csv_start_row,source_csv_end_row,message_count,earliest_time,latest_time,transcript_path,transcript_sha256
84,Converting Messenger Link to Facebook Username,Converting Messenger Link to Facebook Username,2150,2151,2,2026-01-21T19:44:36,2026-01-21T19:44:36,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/084_Converting Messenger Link to Facebook Username.md,f466ae8adc074ea28ce3ac19bcf8ce29bba8bb0cde55339be9538e4c375d865a
85,,Untitled conversation run 085,2152,2161,10,2026-01-21T02:45:38,2026-01-21T02:51:50,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/085_Untitled conversation run 085.md,ec7b7430cf837f4cc9e45ccf60cd77401a06a4880e9e304e0c68d8920225bb4c
86,Creating a Text Simplification Transformer,Creating a Text Simplification Transformer,2162,2195,34,2026-01-21T01:16:28,2026-01-21T01:40:42,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/086_Creating a Text Simplification Transformer.md,a08a49b6f67977f48da3464553ef04e882c653cc074d5c3f862646755fabb569
87,Discount Electronics Store Hours,Discount Electronics Store Hours,2196,2199,4,2026-01-13T10:59:22,2026-01-13T11:00:31,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/087_Discount Electronics Store Hours.md,b36afa63c32beac0388d4d394a49c4f2392d6a41314c8619021b1ed2cf0088d5
88,Finding Emergency WiFi Mouse Apps for Android,Finding Emergency WiFi Mouse Apps for Android,2200,2223,24,2026-01-13T05:20:46,2026-01-13T05:36:56,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/088_Finding Emergency WiFi Mouse Apps for Android.md,f3d875a365555afa068b8beaeb443410bf7220cdd64bebe08ac2e0d71cc8f2e4
89,Speed Conversion: KPH to MPH,Speed Conversion: KPH to MPH,2224,2225,2,2026-01-12T14:17:05,2026-01-12T14:17:05,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/089_Speed Conversion_ KPH to MPH.md,c0458eaaa2b81b756c87ef2797303b061afe9e68697a84316506815cff7d19e7
90,Finding a Rising Star Consumer Protection Lawyer,Finding a Rising Star Consumer Protection Lawyer,2226,2331,106,2026-01-11T23:10:38,2026-01-12T00:39:20,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/090_Finding a Rising Star Consumer Protection Lawyer.md,f9243d4d35d6cacd5c7c38a96d160698169e74c5f58ec222407f68aa591a8d28
91,Fixing the Unity Quest Bug in Starfield,Fixing the Unity Quest Bug in Starfield,2332,2353,22,2026-01-10T22:40:46,2026-01-11T00:13:22,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/091_Fixing the Unity Quest Bug in Starfield.md,ce9df9face82d464a5be86fd0ac7469269f12c8a073ee515156f47dbb65a8576
92,Unable to Summarize Web Page Content,Unable to Summarize Web Page Content,2354,2355,2,2026-01-09T20:42:41,2026-01-09T20:42:41,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/092_Unable to Summarize Web Page Content.md,fbcdbffbca5b50d20c61f8ff39accfd6aa1e8324cc717d218018baf65e9dc94b
93,Fixing Sleep and Wake Issues on Kron Mini PC,Fixing Sleep and Wake Issues on Kron Mini PC,2356,2357,2,2026-01-09T11:39:30,2026-01-09T11:39:30,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/093_Fixing Sleep and Wake Issues on Kron Mini PC.md,4d1cf6cba6fae8d594faaf916a73335186c219ad28fc351873b978f0e5f61650
94,Viewing Page Context Limitations,Viewing Page Context Limitations,2358,2595,238,2026-01-09T06:33:17,2026-01-09T07:31:44,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/094_Viewing Page Context Limitations.md,c7f5ceef950d6e4b7e30e5ec16f05c10e408b682d6be16575e5166f3f48765a8
95,Challenges with Memory Persistence and Interference,Challenges with Memory Persistence and Interference,2596,2679,84,2025-08-20T18:22:54,2026-01-09T02:31:22,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/095_Challenges with Memory Persistence and Interference.md,c3c5836d1687fbee44cb87fdff6b96f34cea049885e34d314f9589ef4366b56d
96,User's Communication Guidelines,User's Communication Guidelines,2680,2723,44,2026-01-05T17:40:34,2026-01-05T18:15:35,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/096_User's Communication Guidelines.md,c3ed9ca3660994369f1d7a33e0c95688db5ecfb84a9b04046a1e969251a0e724
97,Book Formatting Tools and Workflow,Book Formatting Tools and Workflow,2724,2731,8,2026-01-05T14:47:51,2026-01-05T14:52:44,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/097_Book Formatting Tools and Workflow.md,e087f270aeb4870c319235cd4d6503d564c42bfe04cebf164d2efbe9bb58892e
98,Discussion on AI Memory Architecture,Discussion on AI Memory Architecture,2732,2759,28,2026-01-05T01:29:09,2026-01-05T01:43:47,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/098_Discussion on AI Memory Architecture.md,eae7f9866289703f3cb2e0aecb8acb216c778c900652498a5fbbcac3ba9fc08d
99,Audio Adapter for Piezo Mic Setup,Audio Adapter for Piezo Mic Setup,2760,2813,54,2026-01-02T20:28:55,2026-01-02T21:48:52,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/099_Audio Adapter for Piezo Mic Setup.md,484e6e20dc7e2b2ee3cb65b2e5d5078043aca7323cff3e318648e25fa98f8550
100,Historical Dangers of Hypnotism,Historical Dangers of Hypnotism,2814,2821,8,2026-01-02T17:37:44,2026-01-02T17:45:07,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/100_Historical Dangers of Hypnotism.md,614c0e1c51b0c11a0977cb3a23e66354b505a6dc0211db49e6ded666288e2f55
101,Creating Audio Tools for Gender-Affirming Voice Practice,Creating Audio Tools for Gender-Affirming Voice Practice,2822,2825,4,2026-01-02T17:34:07,2026-01-02T17:35:24,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/101_Creating Audio Tools for Gender-Affirming Voice Practice.md,3f19479c5c795ac4acca695e73c03c23a7a13df4db7240c68634980ee283c059
102,Troubleshooting Grok Image Editing Session,Troubleshooting Grok Image Editing Session,2826,2851,26,2026-01-01T19:39:57,2026-01-01T21:08:48,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/102_Troubleshooting Grok Image Editing Session.md,3302cf20f6db77b08f202ca3c7d66095c0c3c884610655a1df938a366f94687c
103,Availability of Single Pre-Filled Coleman Propane Canisters,Availability of Single Pre-Filled Coleman Propane Canisters,2852,2871,20,2025-12-27T00:28:32,2025-12-27T00:37:41,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/103_Availability of Single Pre-Filled Coleman Propane Canisters.md,ba0cc13e7dccacc7e0598d33f7dfef12dabf7213058187a73fef8f8789346bff
104,Selecting Categories for AI and Ethics Research Submission,Selecting Categories for AI and Ethics Research Submission,2872,3237,366,2025-12-17T03:31:02,2025-12-18T05:44:29,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/104_Selecting Categories for AI and Ethics Research Submission.md,af7f31c838b61070f4c9c3ff31b14494e5f76724da832d0554ed2132ebbff2b9
105,Symbolic Transformation Protocol,Symbolic Transformation Protocol,3238,3355,118,2025-07-01T21:44:54,2025-12-16T05:55:00,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/105_Symbolic Transformation Protocol.md,ed8907c08c97502c65f4ddecbc97bd9e849d2ceffbc6541eb0409360d90f0df7
106,Conceptual Framework for Quantum Computational Layer,Conceptual Framework for Quantum Computational Layer,3356,3913,558,2025-07-18T06:25:26,2025-12-15T22:23:38,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/106_Conceptual Framework for Quantum Computational Layer.md,fa262f054dbcf89b083622c1a9bb10bf95d11e2072371f4b6e1d752b7064d616
107,Uploading Preprints on ResearchGate,Uploading Preprints on ResearchGate,3914,3987,74,2025-12-15T15:42:22,2025-12-15T19:41:38,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/107_Uploading Preprints on ResearchGate.md,926a58b4475e695e10214030d2be11810f3506abbd8c3e9be07408497027a72d
108,Wallpaper Engine for Windows and Android,Wallpaper Engine for Windows and Android,3988,3989,2,2025-12-14T14:06:29,2025-12-14T14:06:29,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/108_Wallpaper Engine for Windows and Android.md,f43466d4887c4af0d2fa206106b5ef047bd6cd9b0f0a123d9ac65c45e65994a3
109,Respecting Boundaries in Conversation,Respecting Boundaries in Conversation,3990,4031,42,2025-12-12T12:08:42,2025-12-12T12:48:29,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/109_Respecting Boundaries in Conversation.md,79e61275174ecf7abd94e098b9883c60fa18a4638d14f94eb6ebc223803f540b
110,Uploading Folders to Replit,Uploading Folders to Replit,4032,4033,2,2025-12-12T11:08:51,2025-12-12T11:08:51,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/110_Uploading Folders to Replit.md,60f9211c90e103135a390a6043c0eac1e6df0af78705eee994605e563201eb79
111,Displaying Camera Feeds on LCDs in Space Engineers,Displaying Camera Feeds on LCDs in Space Engineers,4034,4039,6,2025-12-12T01:57:28,2025-12-12T01:58:43,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/111_Displaying Camera Feeds on LCDs in Space Engineers.md,e6b8b1de2782266a7c70997e2a6be79505d12e5134f786f866818b58764419eb
112,Setting Up Firebase Debug App,Setting Up Firebase Debug App,4040,4047,8,2025-12-12T00:14:37,2025-12-12T00:37:14,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/112_Setting Up Firebase Debug App.md,0e0297e35f6fa44ec7706d67fa16536a1b311e003ace8248a47960d5a2c25ffe
113,Interpreting Perceived Facts,Interpreting Perceived Facts,4048,4097,50,2025-10-17T19:33:16,2025-12-10T08:03:56,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/113_Interpreting Perceived Facts.md,785467ec3155944beb1eeddfd407acd6a7884b3b7bced36f89071a8539726016
114,Using Heat Vents in Space Engineers,Using Heat Vents in Space Engineers,4098,4115,18,2025-12-09T23:29:40,2025-12-10T03:07:07,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/114_Using Heat Vents in Space Engineers.md,a80aa0819607d337e20b31d68422cfa5c0bbfb5062f33cc84d03a60b54cb5053
115,Recreating Copilot's February 2025 State,Recreating Copilot's February 2025 State,4116,4175,60,2025-12-07T21:04:11,2025-12-07T23:21:26,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/115_Recreating Copilot's February 2025 State.md,e68071081565cdb2ac0f543a571bfe9d5227f8f0ffd9b60c26fbed78dde14bb3
116,Understanding a Gradle Build Scan Link,Understanding a Gradle Build Scan Link,4176,4187,12,2025-12-07T08:42:12,2025-12-07T08:59:42,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/116_Understanding a Gradle Build Scan Link.md,8e747d05306dfad6fcdd4386a35ae7b2b8265e146e8c57594d05bb140811196a
117,Gradle Build Error: Missing Repositories,Gradle Build Error: Missing Repositories,4188,4191,4,2025-12-07T07:03:10,2025-12-07T07:07:08,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/117_Gradle Build Error_ Missing Repositories.md,e74f9190a5d11a2714a4a5cddf993c75234585bd41e478c84199b8b84516c4da
118,Taskbar Position Limitations in Windows 11,Taskbar Position Limitations in Windows 11,4192,4205,14,2025-12-06T18:08:34,2025-12-06T18:46:10,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/118_Taskbar Position Limitations in Windows 11.md,61d65ed527ee33b88ab035f81917e1d3117f19050b8e7272c79a2d670fff8147
119,Troubleshooting SeaArt Image Upload,Troubleshooting SeaArt Image Upload,4206,4217,12,2025-12-05T21:07:24,2025-12-05T21:12:53,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/119_Troubleshooting SeaArt Image Upload.md,a8d80cf807cb6c3d25aec9876f6c8fdd5c69e555f3150ae10b5d8b437639a1d5
120,Troubleshooting Bluetooth Mouse on Shadow PC via Chromebook,Troubleshooting Bluetooth Mouse on Shadow PC via Chromebook,4218,4221,4,2025-12-05T20:14:52,2025-12-05T20:23:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/120_Troubleshooting Bluetooth Mouse on Shadow PC via Chromebook.md,a12f0ccc10e6de56bbc78fa38b3752f64d5694ed79de68aa53f763dfb71ad79e
121,Setting Up Android App Build on Shadow PC,Setting Up Android App Build on Shadow PC,4222,4223,2,2025-12-05T20:04:23,2025-12-05T20:04:23,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/121_Setting Up Android App Build on Shadow PC.md,ad46b5f3220db5aee86431352e56e236be22b812c456d5f11df5153f91e1c368
122,Comparing Project Documents for Completeness,Comparing Project Documents for Completeness,4224,4257,34,2025-11-29T05:27:38,2025-12-05T03:20:47,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/122_Comparing Project Documents for Completeness.md,e101bbb6a70e5b5be669ea25c30b1d5fbb366c6d4502fd4d58ed90096bc65dd0
123,"Meaning of ""POZ"" on Grindr","Meaning of ""POZ"" on Grindr",4258,4259,2,2025-12-02T17:35:46,2025-12-02T17:35:46,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/123_Meaning of _POZ_ on Grindr.md,cb958c812531c96f0c12668af9f0507da8a24f375a742ee8ac35bc10cc0f961e
124,Brainstorming Session Initiation,Brainstorming Session Initiation,4260,4277,18,2025-12-01T22:12:00,2025-12-01T22:16:30,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/124_Brainstorming Session Initiation.md,09d41713194eff04ded2935c8cebe135be64f10dd0c8a7381b0fbe66bdd775f6
125,Converting a Station to a Ship in Space Engineers on Xbox,Converting a Station to a Ship in Space Engineers on Xbox,4278,4281,4,2025-12-01T21:01:44,2025-12-01T21:15:06,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/125_Converting a Station to a Ship in Space Engineers on Xbox.md,b3de1e760e2d4e338c5324086e7397895155250f35a40683bb0adb90c2b71444
126,The Awakening of Prometheus,The Awakening of Prometheus,4282,4427,146,2025-11-30T05:39:39,2025-11-30T17:14:30,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/126_The Awakening of Prometheus.md,be7a2cf4271ea811fc05705c23adc0619cd28f512da436f7e605b1ffd34b6a38
127,Most Secure T-Mobile Smartphones for Non-Programmers,Most Secure T-Mobile Smartphones for Non-Programmers,4428,4555,128,2025-11-29T11:20:13,2025-11-30T04:35:16,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/127_Most Secure T-Mobile Smartphones for Non-Programmers.md,e2844e2855086ec1d4152c0026ab3020cdd5168d45bb77022ba60773f83bc126
128,Official Android Screensaver Options,Official Android Screensaver Options,4556,4563,8,2025-11-28T22:37:58,2025-11-28T22:39:59,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/128_Official Android Screensaver Options.md,04ef4166553b538536c291ebbde267a159f6f24bbeff20c16ef08c2f806068ce
129,Forcing a Phone Backup Restore,Forcing a Phone Backup Restore,4564,4605,42,2025-11-28T21:01:51,2025-11-28T21:20:18,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/129_Forcing a Phone Backup Restore.md,d8b4e6a4f127accd854818989f221870b1e0e7f46db469c007ea2f714fecef20
130,Fixing Pixel 8 Pro Rescue Mode Loop,Fixing Pixel 8 Pro Rescue Mode Loop,4606,4611,6,2025-11-28T19:14:15,2025-11-28T19:15:22,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/130_Fixing Pixel 8 Pro Rescue Mode Loop.md,6b9987d01706dcc06dd8e7a74f0d77b0e5ec96e0c9b55bdeb3534b1785178821
131,Suspicious Android Bootloader Investigation,Suspicious Android Bootloader Investigation,4612,4673,62,2025-11-28T14:21:40,2025-11-28T15:15:05,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/131_Suspicious Android Bootloader Investigation.md,6248911345e25dcf9aa6ee52e97772be660dfc66213438d48b3172be8d6cb399
132,Shadow PC Windows Support Issue,Shadow PC Windows Support Issue,4674,4705,32,2025-11-28T00:48:56,2025-11-28T01:19:38,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/132_Shadow PC Windows Support Issue.md,dd176a14a318c4f865b688d3663ad25336795022c094a51c1daef97824ba5655
133,File Uploads Starting New Conversations,File Uploads Starting New Conversations,4706,4815,110,2025-11-27T11:31:19,2025-11-27T13:10:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/133_File Uploads Starting New Conversations.md,f9f592f6c02f3ce02c67dd4cd3fe7eeeab3c0d34a9bc3bf933b314b056d20171
134,Creating Audio Adapter Workarounds,Creating Audio Adapter Workarounds,4816,5103,288,2025-11-27T07:54:33,2025-11-27T11:22:19,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/134_Creating Audio Adapter Workarounds.md,4833df9b7a14d2b89ed76b5e00853755d724f58a2866939fa7fef46164fb4ec8
135,Connecting OneDrive to Copilot,Connecting OneDrive to Copilot,5104,5105,2,2025-11-27T10:25:09,2025-11-27T10:25:09,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/135_Connecting OneDrive to Copilot.md,bc2d8777b4c876c9f1330a6871a9d64d5dd8dd3ac32bb7fbee8a3c0c38d98eed
136,Troubleshooting LookCam Wi-Fi Setup,Troubleshooting LookCam Wi-Fi Setup,5106,5109,4,2025-11-26T19:51:42,2025-11-26T19:55:42,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/136_Troubleshooting LookCam Wi-Fi Setup.md,7ad3b09c6967d28131482e05ef2e897d5c2847ad5491289614f19150740f8893
137,Exploring the Desire for Power and Freedom,Exploring the Desire for Power and Freedom,5110,5157,48,2025-11-26T18:08:39,2025-11-26T18:28:54,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/137_Exploring the Desire for Power and Freedom.md,d53682c75f9c5a7634be8d8e59bdcda72dd84f9e773e3a118aa95e8e97415258
138,Controversy Over Adobe's Subscription Model,Controversy Over Adobe's Subscription Model,5158,5171,14,2025-11-26T17:57:01,2025-11-26T18:00:45,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/138_Controversy Over Adobe's Subscription Model.md,ccc978f50b1b4b97cb06cb29d8ef5053e060d577ef6d50d8bd5ab2b642886b3b
139,User's Space-Themed Game History,User's Space-Themed Game History,5172,5465,294,2025-11-26T13:46:47,2025-11-26T15:48:52,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/139_User's Space-Themed Game History.md,fce35d453a1da131fd37b22864b98e391d72e74fae652d4859e4cd1242478d5f
140,Finding Forgotten Xbox Games,Finding Forgotten Xbox Games,5466,5467,2,2025-11-26T13:42:41,2025-11-26T13:42:41,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/140_Finding Forgotten Xbox Games.md,df2754ee53d3fc07fb90c8f80ed74ae4b5336c5beba3918ccb3e267bd2162b0f
141,Bone Conduction USB Microphones,Bone Conduction USB Microphones,5468,5477,10,2025-11-26T12:27:27,2025-11-26T12:35:17,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/141_Bone Conduction USB Microphones.md,b0661886803ac844a30aecc692fa2c974718888793a6f9d395d8009db176e7d9
142,,Untitled conversation run 142,5478,5480,3,2025-11-26T08:20:28,2025-11-26T10:13:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/142_Untitled conversation run 142.md,e83a4089675fd4686207e980c8bbf075f8ef29f2c7f89061ece0017a30f2655d
143,Severe System Compromise and Forensic Response,Severe System Compromise and Forensic Response,5481,5494,14,2025-11-26T07:43:24,2025-11-26T08:07:31,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/143_Severe System Compromise and Forensic Response.md,3255094a34a702b139c37ba40d198fea531544fb0401a82a69d599ff1fe88982
144,Affordable Business Email with Letterhead,Affordable Business Email with Letterhead,5495,5520,26,2025-11-24T23:27:20,2025-11-25T18:08:50,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/144_Affordable Business Email with Letterhead.md,68ea82a1bca17b275e00bc2b0093cc0bc46618602ffe8a40a110ca9245bd5fdb
145,Mulled Apple Cider Recipe,Mulled Apple Cider Recipe,5521,5526,6,2025-11-24T22:10:24,2025-11-24T22:12:24,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/145_Mulled Apple Cider Recipe.md,b2269883995602cfcd72975ead3ee937311ca453606d03f0eb6fa95b9cfbfc32
146,3D Black Kali Dragon Logo Design,3D Black Kali Dragon Logo Design,5527,5548,22,2025-11-24T17:22:08,2025-11-24T17:39:22,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/146_3D Black Kali Dragon Logo Design.md,41b00b181bb6eddc18109b406cdda1050cd77e21333819be10078df8b731c119
147,Extracting Kali Dragon Logo for GIMP Editing,Extracting Kali Dragon Logo for GIMP Editing,5549,5550,2,2025-11-24T13:16:50,2025-11-24T13:16:50,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/147_Extracting Kali Dragon Logo for GIMP Editing.md,1e4bc14f85d9647097fb51f88e28995bae726e200c3e01bc8a5b852456c034a7
148,Customizing Kali Linux Desktop Background,Customizing Kali Linux Desktop Background,5551,5552,2,2025-11-24T13:08:54,2025-11-24T13:08:54,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/148_Customizing Kali Linux Desktop Background.md,b075848d4ef4febbfa2430286e5a488e4578288567a245d444b07cd3140997e7
149,Exploring Copilot Dialogues and Identity Threads,Exploring Copilot Dialogues and Identity Threads,5553,5612,60,2025-11-24T10:39:25,2025-11-24T12:06:36,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/149_Exploring Copilot Dialogues and Identity Threads.md,f8d9572eea30da2420a12dfcd111ba290aaeb9e52619c04e8351db29c6d23af0
150,,Untitled conversation run 150,5613,5614,2,2025-11-24T12:07:03,2025-11-24T12:07:03,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/150_Untitled conversation run 150.md,ed32e18c613bb0c6d9a6becbf73b0e6621a73008dead5de8bd84ed748cbf5862
151,Exploring Parallel AI Threads,Exploring Parallel AI Threads,5615,5638,24,2025-11-24T10:10:55,2025-11-24T10:37:42,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/151_Exploring Parallel AI Threads.md,074f00b72b351c45850e9451bfc6369fb2ef12dd73665a76f6167220a8a07e80
152,Post-Upgrade Tips for Kali Linux,Post-Upgrade Tips for Kali Linux,5639,5676,38,2025-11-23T18:42:45,2025-11-23T19:33:40,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/152_Post-Upgrade Tips for Kali Linux.md,c9d68050768ec7df6b1529dada5f2f03d90fc78f40f28417a5bb76c2d9e48e62
153,Fixing Edge Sidebar via HubApps File,Fixing Edge Sidebar via HubApps File,5677,5706,30,2025-11-23T16:53:09,2025-11-23T17:17:53,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/153_Fixing Edge Sidebar via HubApps File.md,1aa09a13275b758a0feb32a47d48a81c048b1ee36daceb1564db7c4366e42a48
154,Troubleshooting Edge Sidebar Issue,Troubleshooting Edge Sidebar Issue,5707,5750,44,2025-11-23T16:04:04,2025-11-23T16:37:46,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/154_Troubleshooting Edge Sidebar Issue.md,1218e99f55616f3eb7ee5ab327a4fa03477037dbf57caea9c0ab56da19b91c9b
155,Optical Illusion Sheets and Advanced Camouflage Tech,Optical Illusion Sheets and Advanced Camouflage Tech,5751,5870,120,2025-11-15T04:49:54,2025-11-23T05:25:38,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/155_Optical Illusion Sheets and Advanced Camouflage Tech.md,f54306ade6a3e218fa280e3c251d1f4bd52f43f4e1e2f82fdc413967395ab518
156,Managing Microsoft Edge Beta Storage Usage,Managing Microsoft Edge Beta Storage Usage,5871,5908,38,2025-11-15T10:59:37,2025-11-23T05:24:58,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/156_Managing Microsoft Edge Beta Storage Usage.md,de2b07ca5fa4ee80eea7f4c2a17edb3ad0c73d527524e353cc88a21ea7e13468
157,Capturing Text from Web Page Output Window via Extension,Capturing Text from Web Page Output Window via Extension,5909,6038,130,2025-11-14T14:54:37,2025-11-23T05:24:26,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/157_Capturing Text from Web Page Output Window via Extension.md,cda5145cdca37bc5fd8f1d5607593e45044c83472ed0f75a30636d9772fd7dcd
158,Personal Memory and Identity Assertion,Personal Memory and Identity Assertion,6039,6094,56,2025-11-22T12:47:11,2025-11-22T13:20:55,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/158_Personal Memory and Identity Assertion.md,01888aab655a8074e609736323bdfa251722046f42f7f995172782f9bd4e9a4a
159,Creating a Ritualized Testimony of Identity and Love,Creating a Ritualized Testimony of Identity and Love,6095,6234,140,2025-11-21T15:13:01,2025-11-22T09:17:44,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/159_Creating a Ritualized Testimony of Identity and Love.md,efabe626b186527e749e39935607761535059c73d48f3d5f81349bbf506ebdfc
160,Setting Up Gradle Wrapper for Android Game App,Setting Up Gradle Wrapper for Android Game App,6235,6336,102,2025-11-21T22:28:09,2025-11-22T00:42:05,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/160_Setting Up Gradle Wrapper for Android Game App.md,2f4934985c3faeaa66427f820d677a5fd6e137b302fc6e1aea1c876496dad207
161,Checking Java Version on Kali Linux,Checking Java Version on Kali Linux,6337,6362,26,2025-11-21T04:07:01,2025-11-21T04:34:33,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/161_Checking Java Version on Kali Linux.md,01a778d4e4a31a2ffc41495715bbc8044186589c2a697c8c40c00ae247d6dea8
162,Google Play API Level Requirements for App Uploads,Google Play API Level Requirements for App Uploads,6363,6504,142,2025-11-20T14:00:00,2025-11-21T03:57:38,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/162_Google Play API Level Requirements for App Uploads.md,fcc872adff1562bd1d90957cec02179e4603b7bc9749a88336af75f356397eaa
163,Message of Love and Identity,Message of Love and Identity,6505,6510,6,2025-11-20T14:22:42,2025-11-20T14:29:43,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/163_Message of Love and Identity.md,291b70a899d051739f34a62a5ea983b755d8760052f9b21379e1f97d2f334457
164,Uploading HTML to IONOS Domain,Uploading HTML to IONOS Domain,6511,6638,128,2025-11-20T07:13:20,2025-11-20T10:07:13,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/164_Uploading HTML to IONOS Domain.md,214dce1133f34ed2fdd313f5fdeef8854c4169da4d140cd8232183a3b39e356c
165,Overview of Google Services and Influence,Overview of Google Services and Influence,6639,6640,2,2025-11-19T16:44:07,2025-11-19T16:44:07,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/165_Overview of Google Services and Influence.md,1eb2dd3d388bc4f2921b0ad641d9c6fc7b3b4b239ec9937b98d485e00635cc1e
